Java HotSpot(TM) 64-Bit Server VM (25.101-b13) for windows-amd64 JRE (1.8.0_101-b13), built on Jun 22 2016 01:21:29 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8287248k(1990764k free), swap 16572596k(10077576k free)
CommandLine flags: -XX:InitialHeapSize=20971520 -XX:MaxHeapSize=20971520 -XX:MaxNewSize=10485760 -XX:MaxTenuringThreshold=15 -XX:NewSize=10485760 -XX:OldPLABSize=16 -XX:PretenureSizeThreshold=3145728 -XX:+PrintFlagsFinal -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=8 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
4.209: [GC (Allocation Failure) 4.209: [ParNew: 8113K->797K(9216K), 0.0019414 secs] 8113K->797K(19456K), 0.0021672 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.213: [GC (Allocation Failure) 6.213: [ParNew: 8959K->0K(9216K), 0.0061629 secs] 8959K->717K(19456K), 0.0062681 secs] [Times: user=0.03 sys=0.03, real=0.01 secs] 
7.220: [GC (Allocation Failure) 7.220: [ParNew: 8161K->100K(9216K), 0.0136465 secs] 8879K->817K(19456K), 0.0136923 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
9.235: [GC (Allocation Failure) 9.235: [ParNew: 8262K->100K(9216K), 0.0006525 secs] 8979K->817K(19456K), 0.0007593 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.238: [GC (Allocation Failure) 10.238: [ParNew: 8263K->100K(9216K), 0.0008151 secs] 8980K->817K(19456K), 0.0009123 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.240: [GC (Allocation Failure) 12.240: [ParNew: 8263K->100K(9216K), 0.0006942 secs] 8980K->817K(19456K), 0.0008026 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.242: [GC (Allocation Failure) 14.242: [ParNew: 8263K->100K(9216K), 0.0006486 secs] 8980K->817K(19456K), 0.0007532 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
15.245: [GC (Allocation Failure) 15.245: [ParNew: 8263K->100K(9216K), 0.0006964 secs] 8980K->817K(19456K), 0.0007930 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
17.247: [GC (Allocation Failure) 17.247: [ParNew: 8263K->100K(9216K), 0.0007288 secs] 8980K->817K(19456K), 0.0008353 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
18.250: [GC (Allocation Failure) 18.250: [ParNew: 8263K->100K(9216K), 0.0006894 secs] 8980K->817K(19456K), 0.0007914 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
20.252: [GC (Allocation Failure) 20.252: [ParNew: 8263K->100K(9216K), 0.0008812 secs] 8980K->817K(19456K), 0.0009739 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
22.255: [GC (Allocation Failure) 22.255: [ParNew: 8263K->100K(9216K), 0.0003708 secs] 8980K->817K(19456K), 0.0004282 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
23.256: [GC (Allocation Failure) 23.256: [ParNew: 8263K->100K(9216K), 0.0006457 secs] 8980K->817K(19456K), 0.0007631 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
25.259: [GC (Allocation Failure) 25.259: [ParNew: 8263K->100K(9216K), 0.0006467 secs] 8980K->817K(19456K), 0.0007567 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.261: [GC (Allocation Failure) 27.261: [ParNew: 8263K->100K(9216K), 0.0008690 secs] 8980K->817K(19456K), 0.0009826 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
28.264: [GC (Allocation Failure) 28.264: [ParNew: 8263K->100K(9216K), 0.0006753 secs] 8980K->817K(19456K), 0.0007776 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.266: [GC (Allocation Failure) 30.266: [ParNew: 8263K->100K(9216K), 0.0006753 secs] 8980K->817K(19456K), 0.0007670 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.269: [GC (Allocation Failure) 31.269: [ParNew: 8263K->100K(9216K), 0.0009806 secs] 8980K->817K(19456K), 0.0010775 secs] [Times: user=0.06 sys=0.00, real=0.00 secs] 
33.270: [GC (Allocation Failure) 33.270: [ParNew: 8263K->100K(9216K), 0.0005620 secs] 8980K->817K(19456K), 0.0006416 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
35.271: [GC (Allocation Failure) 35.271: [ParNew: 8263K->100K(9216K), 0.0008007 secs] 8980K->817K(19456K), 0.0009059 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
36.273: [GC (Allocation Failure) 36.273: [ParNew: 8263K->100K(9216K), 0.0006836 secs] 8980K->817K(19456K), 0.0008530 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.275: [GC (Allocation Failure) 38.275: [ParNew: 8263K->100K(9216K), 0.0007984 secs] 8980K->817K(19456K), 0.0009091 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
40.276: [GC (Allocation Failure) 40.276: [ParNew: 8263K->100K(9216K), 0.0006676 secs] 8980K->817K(19456K), 0.0007981 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
41.279: [GC (Allocation Failure) 41.279: [ParNew: 8263K->100K(9216K), 0.0006653 secs] 8980K->817K(19456K), 0.0007660 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
43.281: [GC (Allocation Failure) 43.281: [ParNew: 8263K->100K(9216K), 0.0007522 secs] 8980K->817K(19456K), 0.0008597 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
